Language,DevType,Count,Rank
Clojure,"Engineer, data",147,5
Clojure,"Developer, desktop or enterprise applications",137,6
Clojure,Engineering manager,130,7
Clojure,Database administrator,89,8
Clojure,"Developer, mobile",84,9
Clojure,"Engineer, site reliability",81,10
Clojure,System administrator,81,11
Clojure,Data scientist or machine learning specialist,77,12
Clojure,Cloud infrastructure engineer,72,13
Clojure,"Senior Executive (C-Suite, VP, etc.)",68,14
Clojure,Product manager,56,15
Clojure,Other (please specify):,53,16
Clojure,"Developer, QA or test",47,17
Clojure,Educator,44,18
Clojure,Data or business analyst,43,19
Clojure,"Developer, embedded applications or devices",34,20
Clojure,Designer,28,21
Clojure,Scientist,26,22
Clojure,Academic researcher,26,23
Clojure,"Developer, game or graphics",19,24
Clojure,Project manager,16,25
Clojure,Student,15,26
Clojure,Security professional,15,27
Clojure,Blockchain,15,28
Clojure,Research & Development role,6,29
Clojure,Marketing or sales professional,6,30
Clojure,Senior executive/VP,3,31
Clojure,Developer Experience,1,32
Cobol,"Developer, full-stack",45,1
Cobol,"Developer, back-end",15,2
Cobol,"Developer, desktop or enterprise applications",12,3
Cobol,Other (please specify):,7,4
Cobol,DevOps specialist,4,5
Cobol,Project manager,4,6
Cobol,"Engineer, data",3,7
Cobol,Research & Development role,3,8
Cobol,"Developer, front-end",3,9
Cobol,Cloud infrastructure engineer,3,10
Cobol,Engineering manager,3,11
Cobol,"Senior Executive (C-Suite, VP, etc.)",3,12
Cobol,System administrator,3,13
Cobol,Product manager,2,14
Cobol,Developer Experience,2,15
Cobol,Data or business analyst,1,16
Cobol,"Developer, mobile",1,17
Cobol,Educator,1,18
Cobol,Student,1,19
Cobol,Hardware Engineer,1,20
Cobol,Academic researcher,1,21
Cobol,"Developer, embedded applications or devices",1,22
Cobol,"Engineer, site reliability",1,23
Cobol,Database administrator,1,24
Cobol,Blockchain,1,25
Crystal,"Developer, full-stack",168,1
Crystal,"Developer, back-end",155,2
Crystal,"Developer, desktop or enterprise applications",69,3
Crystal,"Developer, front-end",61,4
Crystal,Database administrator,54,5
Crystal,DevOps specialist,51,6
Crystal,System administrator,41,7
Crystal,"Developer, mobile",37,8
Crystal,"Developer, embedded applications or devices",29,9
Crystal,"Engineer, data",27,10
Crystal,"Developer, QA or test",26,11
Crystal,Designer,22,12
Crystal,Engineering manager,21,13
Crystal,"Senior Executive (C-Suite, VP, etc.)",20,14
Crystal,"Engineer, site reliability",19,15
Crystal,Data or business analyst,19,16
Crystal,Product manager,17,17
Crystal,Cloud infrastructure engineer,16,18
Crystal,Other (please specify):,15,19
Crystal,Project manager,13,20
Crystal,Data scientist or machine learning specialist,12,21
Crystal,Academic researcher,11,22
Crystal,Security professional,10,23
Crystal,Educator,10,24
Crystal,Student,6,25
Crystal,Scientist,6,26
Crystal,Marketing or sales professional,6,27
Crystal,Blockchain,5,28
Crystal,"Developer, game or graphics",5,29
Crystal,Research & Development role,1,30
Crystal,Developer Experience,1,31
Dart,"Developer, full-stack",3053,1
Dart,"Developer, mobile",2227,2
Dart,"Developer, back-end",1946,3
Dart,"Developer, front-end",1519,4
Dart,"Developer, desktop or enterprise applications",663,5
Dart,DevOps specialist,466,6
Dart,Database administrator,397,7
Dart,System administrator,350,8
Dart,"Developer, embedded applications or devices",333,9
Dart,Designer,314,10
Dart,Engineering manager,296,11
Dart,"Developer, QA or test",255,12
Dart,Product manager,226,13
Dart,"Engineer, data",186,14
Dart,Educator,185,15
Dart,"Senior Executive (C-Suite, VP, etc.)",178,16
Dart,Data scientist or machine learning specialist,178,17
Dart,"Developer, game or graphics",173,18
Dart,Data or business analyst,166,19
Dart,Student,164,20
Dart,Cloud infrastructure engineer,160,21
Dart,"Engineer, site reliability",130,22
Dart,Academic researcher,129,23
Dart,Project manager,125,24
Dart,Other (please specify):,95,25
Dart,Scientist,55,26
Dart,Security professional,46,27
Dart,Blockchain,45,28
Dart,Senior executive/VP,32,29
Dart,Marketing or sales professional,30,30
Dart,Research & Development role,20,31
Dart,Developer Experience,12,32
Dart,Developer Advocate,5,33
Dart,Hardware Engineer,2,34
Delphi,"Developer, full-stack",674,1
Delphi,"Developer, desktop or enterprise applications",588,2
Delphi,"Developer, back-end",521,3
Delphi,"Developer, front-end",283,4
Delphi,"Developer, mobile",223,5
Delphi,Database administrator,190,6
Delphi,"Developer, embedded applications or devices",172,7
Delphi,System administrator,132,8
Delphi,Data or business analyst,128,9
Delphi,Product manager,119,10
Delphi,Engineering manager,113,11
Delphi,DevOps specialist,113,12
Delphi,Designer,107,13
Delphi,Project manager,103,14
Delphi,"Senior Executive (C-Suite, VP, etc.)",93,15
Delphi,"Engineer, data",89,16
Delphi,"Developer, QA or test",81,17
Delphi,Cloud infrastructure engineer,52,18
Delphi,Other (please specify):,49,19
Delphi,Data scientist or machine learning specialist,48,20
Delphi,Educator,44,21
Delphi,"Developer, game or graphics",37,22
Delphi,Security professional,32,23
Delphi,"Engineer, site reliability",30,24
Delphi,Academic researcher,27,25
Delphi,Scientist,21,26
Delphi,Marketing or sales professional,15,27
Delphi,Student,12,28
Delphi,Blockchain,12,29
Delphi,Research & Development role,11,30
Delphi,Hardware Engineer,4,31
Delphi,Developer Experience,4,32
Elixir,"Developer, full-stack",1257,1
Elixir,"Developer, back-end",1114,2
Elixir,"Developer, front-end",329,3
Elixir,Engineering manager,229,4
Elixir,DevOps specialist,220,5
Elixir,System administrator,160,6
Elixir,"Developer, mobile",146,7
Elixir,Database administrator,135,8
Elixir,"Engineer, site reliability",121,9
Elixir,"Senior Executive (C-Suite, VP, etc.)",113,10
Elixir,"Developer, desktop or enterprise applications",108,11
Elixir,Cloud infrastructure engineer,101,12
Elixir,"Engineer, data",87,13
Elixir,"Developer, embedded applications or devices",73,14
Elixir,Data scientist or machine learning specialist,70,15
Elixir,Product manager,70,16
Elixir,"Developer, QA or test",69,17
Elixir,Other (please specify):,54,18
Elixir,Project manager,53,19
Elixir,Data or business analyst,45,20
Elixir,Designer,44,21
