YearsGroup,DevType,Database,Count,Rank
senior,Database administrator,SQLite,2247,4
senior,Database administrator,Redis,1783,5
senior,Database administrator,MariaDB,1764,6
senior,Database administrator,MongoDB,1592,7
senior,Database administrator,Elasticsearch,1213,8
senior,Database administrator,Oracle,1004,9
senior,Database administrator,DynamoDB,620,10
senior,Database administrator,Firebase,580,11
senior,Database administrator,Cassandra,218,12
senior,Database administrator,IBM DB2,185,13
senior,Database administrator,Couchbase,133,14
senior,Database administrator,Cloud Firestore,110,15
senior,Database administrator,Firebase Realtime Database,98,16
senior,Database administrator,Other(s):,50,17
senior,Database administrator,Neo4j,40,18
senior,Database administrator,CouchDB,37,19
senior,Database administrator,Microsoft Access,8,20
senior,Database administrator,BigQuery,6,21
senior,Database administrator,Cosmos DB,3,22
senior,Database administrator,Snowflake,2,23
senior,Database administrator,InfluxDB,2,24
senior,Database administrator,Firebird,2,25
senior,Database administrator,Dynamodb,2,26
senior,Database administrator,Neo4J,1,27
senior,Database administrator,Solr,1,28
senior,Database administrator,Couch DB,1,29
senior,Database administrator,DuckDB,1,30
senior,Designer,MySQL,2143,1
senior,Designer,Microsoft SQL Server,1546,2
senior,Designer,PostgreSQL,1470,3
senior,Designer,SQLite,1362,4
senior,Designer,MongoDB,1000,5
senior,Designer,MariaDB,839,6
senior,Designer,Redis,760,7
senior,Designer,Oracle,642,8
senior,Designer,Elasticsearch,522,9
senior,Designer,Firebase,509,10
senior,Designer,DynamoDB,292,11
senior,Designer,IBM DB2,148,12
senior,Designer,Cassandra,100,13
senior,Designer,Couchbase,89,14
senior,Designer,Firebase Realtime Database,75,15
senior,Designer,Cloud Firestore,70,16
senior,Designer,CouchDB,28,17
senior,Designer,Neo4j,26,18
senior,Designer,Other(s):,26,19
senior,Designer,Supabase,5,20
senior,Designer,Microsoft Access,4,21
senior,Designer,BigQuery,4,22
senior,Designer,Dynamodb,4,23
senior,Designer,Solr,1,24
senior,Designer,Snowflake,1,25
senior,Designer,Neo4J,1,26
senior,Designer,Couch DB,1,27
senior,Designer,InfluxDB,1,28
senior,Designer,Cockroachdb,1,29
senior,Designer,Cosmos DB,1,30
senior,Designer,Firebird,1,31
senior,DevOps specialist,PostgreSQL,5151,1
senior,DevOps specialist,MySQL,4399,2
senior,DevOps specialist,Redis,3714,3
senior,DevOps specialist,Microsoft SQL Server,3369,4
senior,DevOps specialist,SQLite,3062,5
senior,DevOps specialist,Elasticsearch,2929,6
senior,DevOps specialist,MongoDB,2851,7
senior,DevOps specialist,MariaDB,2276,8
senior,DevOps specialist,DynamoDB,1554,9
senior,DevOps specialist,Oracle,1336,10
senior,DevOps specialist,Firebase,705,11
senior,DevOps specialist,Cassandra,482,12
senior,DevOps specialist,IBM DB2,257,13
senior,DevOps specialist,Couchbase,246,14
senior,DevOps specialist,Cloud Firestore,157,15
senior,DevOps specialist,Firebase Realtime Database,117,16
senior,DevOps specialist,Dynamodb,107,17
senior,DevOps specialist,Neo4j,73,18
senior,DevOps specialist,InfluxDB,61,19
senior,DevOps specialist,CouchDB,56,20
senior,DevOps specialist,Other(s):,46,21
senior,DevOps specialist,Cosmos DB,40,22
senior,DevOps specialist,BigQuery,37,23
senior,DevOps specialist,H2,26,24
senior,DevOps specialist,Snowflake,24,25
senior,DevOps specialist,Microsoft Access,22,26
senior,DevOps specialist,Solr,16,27
senior,DevOps specialist,Couch DB,14,28
senior,DevOps specialist,Cockroachdb,13,29
senior,DevOps specialist,Neo4J,12,30
senior,DevOps specialist,Supabase,5,31
senior,DevOps specialist,Clickhouse,5,32
senior,DevOps specialist,Firebird,4,33
senior,DevOps specialist,DuckDB,3,34
senior,DevOps specialist,TiDB,2,35
senior,DevOps specialist,RavenDB,1,36
senior,Developer Advocate,PostgreSQL,36,1
senior,Developer Advocate,MySQL,25,2
senior,Developer Advocate,SQLite,22,3
senior,Developer Advocate,Microsoft SQL Server,20,4
senior,Developer Advocate,MongoDB,18,5
senior,Developer Advocate,Oracle,16,6
senior,Developer Advocate,Redis,16,7
senior,Developer Advocate,Elasticsearch,14,8
senior,Developer Advocate,Dynamodb,8,9
senior,Developer Advocate,Cosmos DB,8,10
senior,Developer Advocate,MariaDB,8,11
senior,Developer Advocate,Cloud Firestore,6,12
senior,Developer Advocate,BigQuery,4,13
senior,Developer Advocate,Firebase Realtime Database,4,14
senior,Developer Advocate,Couch DB,4,15
senior,Developer Advocate,InfluxDB,3,16
senior,Developer Advocate,Couchbase,3,17
senior,Developer Advocate,Cassandra,3,18
senior,Developer Advocate,Supabase,3,19
senior,Developer Advocate,H2,3,20
senior,Developer Advocate,IBM DB2,2,21
senior,Developer Advocate,Firebird,2,22
senior,Developer Advocate,Cockroachdb,1,23
senior,Developer Advocate,Solr,1,24
senior,Developer Advocate,Clickhouse,1,25
senior,Developer Advocate,Microsoft Access,1,26
senior,Developer Experience,PostgreSQL,61,1
senior,Developer Experience,MySQL,44,2
senior,Developer Experience,SQLite,41,3
senior,Developer Experience,Redis,34,4
senior,Developer Experience,MongoDB,26,5
senior,Developer Experience,Elasticsearch,24,6
senior,Developer Experience,Dynamodb,23,7
senior,Developer Experience,MariaDB,21,8
senior,Developer Experience,Microsoft SQL Server,15,9
senior,Developer Experience,Cloud Firestore,13,10
senior,Developer Experience,H2,8,11
senior,Developer Experience,Firebase Realtime Database,8,12
senior,Developer Experience,Snowflake,7,13
senior,Developer Experience,Oracle,7,14
senior,Developer Experience,Cosmos DB,6,15
senior,Developer Experience,Microsoft Access,5,16
senior,Developer Experience,BigQuery,5,17
senior,Developer Experience,InfluxDB,5,18
senior,Developer Experience,Cockroachdb,4,19
senior,Developer Experience,Cassandra,4,20
senior,Developer Experience,Firebird,3,21
senior,Developer Experience,Supabase,3,22
senior,Developer Experience,IBM DB2,2,23
senior,Developer Experience,Couch DB,1,24
senior,Developer Experience,Neo4J,1,25
senior,Developer Experience,DuckDB,1,26
senior,Developer Experience,RavenDB,1,27
senior,Developer Experience,Clickhouse,1,28
senior,Developer Experience,Datomic,1,29
senior,Developer Experience,Couchbase,1,30
senior,"Developer, QA or test",MySQL,2084,1
senior,"Developer, QA or test",PostgreSQL,1736,2
senior,"Developer, QA or test",Microsoft SQL Server,1486,3
senior,"Developer, QA or test",SQLite,1410,4
senior,"Developer, QA or test",MongoDB,1081,5
senior,"Developer, QA or test",Redis,1050,6
senior,"Developer, QA or test",MariaDB,904,7
senior,"Developer, QA or test",Elasticsearch,784,8
senior,"Developer, QA or test",Oracle,660,9
senior,"Developer, QA or test",DynamoDB,421,10
senior,"Developer, QA or test",Firebase,421,11
senior,"Developer, QA or test",IBM DB2,146,12
senior,"Developer, QA or test",Cassandra,140,13
senior,"Developer, QA or test",Couchbase,109,14
senior,"Developer, QA or test",Cloud Firestore,65,15
senior,"Developer, QA or test",Firebase Realtime Database,64,16
senior,"Developer, QA or test",Neo4j,26,17
senior,"Developer, QA or test",CouchDB,25,18
senior,"Developer, QA or test",Dynamodb,19,19
senior,"Developer, QA or test",Other(s):,12,20
senior,"Developer, QA or test",InfluxDB,8,21
senior,"Developer, QA or test",Cosmos DB,8,22
senior,"Developer, QA or test",H2,7,23
senior,"Developer, QA or test",Snowflake,5,24
