YearsGroup,DevType,Tools,Count,Rank
senior,Data scientist or machine learning specialist,"RAD Studio (Delphi, C++ Builder)",15,43
senior,Data scientist or machine learning specialist,WebStorm,9,44
senior,Data scientist or machine learning specialist,Code::Blocks,6,45
senior,Data scientist or machine learning specialist,VSCodium,5,46
senior,Data scientist or machine learning specialist,Netbeans,5,47
senior,Data scientist or machine learning specialist,Fleet,4,48
senior,Data scientist or machine learning specialist,Goland,4,49
senior,Data scientist or machine learning specialist,BBEdit,4,50
senior,Data scientist or machine learning specialist,"Rad Studio (Delphi, C++ Builder)",2,51
senior,Data scientist or machine learning specialist,Kate,2,52
senior,Data scientist or machine learning specialist,condo,2,53
senior,Data scientist or machine learning specialist,Helix,2,54
senior,Data scientist or machine learning specialist,Geany,1,55
senior,Database administrator,Visual Studio Code,2302,1
senior,Database administrator,Github,1511,2
senior,Database administrator,Visual Studio,1346,3
senior,Database administrator,Notepad++,1225,4
senior,Database administrator,Slack,1030,5
senior,Database administrator,Vim,978,6
senior,Database administrator,"Google Suite (Docs, Meet, etc)",908,7
senior,Database administrator,Jira,903,8
senior,Database administrator,Android Studio,756,9
senior,Database administrator,IntelliJ,756,10
senior,Database administrator,Gitlab,748,11
senior,Database administrator,Sublime Text,640,12
senior,Database administrator,Microsoft Teams,621,13
senior,Database administrator,Trello,610,14
senior,Database administrator,Confluence,587,15
senior,Database administrator,PyCharm,504,16
senior,Database administrator,Eclipse,473,17
senior,Database administrator,Microsoft Azure,450,18
senior,Database administrator,Xcode,449,19
senior,Database administrator,Atom,332,20
senior,Database administrator,Webstorm,331,21
senior,Database administrator,IPython/Jupyter,321,22
senior,Database administrator,NetBeans,276,23
senior,Database administrator,PHPStorm,240,24
senior,Database administrator,Rider,221,25
senior,Database administrator,Nano,205,26
senior,Database administrator,PhpStorm,179,27
senior,Database administrator,Emacs,142,28
senior,Database administrator,Neovim,134,29
senior,Database administrator,RStudio,93,30
senior,Database administrator,Stack Overflow for Teams,81,31
senior,Database administrator,"RAD Studio (Delphi, C++ Builder)",66,32
senior,Database administrator,GoLand,60,33
senior,Database administrator,CLion,57,34
senior,Database administrator,RubyMine,56,35
senior,Database administrator,TextMate,48,36
senior,Database administrator,Facebook Workplace,48,37
senior,Database administrator,Qt Creator,38,38
senior,Database administrator,Spyder,21,39
senior,Database administrator,Jupyter Notebook/JupyterLab,5,40
senior,Database administrator,Goland,2,41
senior,Database administrator,BBEdit,2,42
senior,Database administrator,IntelliJ IDEA,2,43
senior,Database administrator,DataGrip,1,44
senior,Database administrator,WebStorm,1,45
senior,Database administrator,"Rad Studio (Delphi, C++ Builder)",1,46
senior,Database administrator,Code::Blocks,1,47
senior,Database administrator,VSCodium,1,48
senior,Designer,Visual Studio Code,1399,1
senior,Designer,Github,1054,2
senior,Designer,Visual Studio,796,3
senior,Designer,Notepad++,720,4
senior,Designer,Slack,690,5
senior,Designer,Jira,650,6
senior,Designer,"Google Suite (Docs, Meet, etc)",625,7
senior,Designer,Android Studio,520,8
senior,Designer,Gitlab,499,9
senior,Designer,IntelliJ,463,10
senior,Designer,Microsoft Teams,443,11
senior,Designer,Trello,428,12
senior,Designer,Vim,424,13
senior,Designer,Sublime Text,420,14
senior,Designer,Confluence,406,15
senior,Designer,Eclipse,347,16
senior,Designer,Microsoft Azure,312,17
senior,Designer,Xcode,309,18
senior,Designer,Atom,271,19
senior,Designer,PyCharm,229,20
senior,Designer,Webstorm,184,21
senior,Designer,NetBeans,163,22
senior,Designer,IPython/Jupyter,153,23
senior,Designer,PHPStorm,110,24
senior,Designer,Rider,95,25
senior,Designer,Nano,94,26
senior,Designer,PhpStorm,75,27
senior,Designer,Emacs,74,28
senior,Designer,Stack Overflow for Teams,66,29
senior,Designer,Neovim,52,30
senior,Designer,RStudio,51,31
senior,Designer,Facebook Workplace,40,32
senior,Designer,"RAD Studio (Delphi, C++ Builder)",35,33
senior,Designer,RubyMine,31,34
senior,Designer,TextMate,29,35
senior,Designer,CLion,22,36
senior,Designer,Qt Creator,22,37
senior,Designer,Spyder,12,38
senior,Designer,GoLand,11,39
senior,Designer,Jupyter Notebook/JupyterLab,5,40
senior,Designer,IntelliJ IDEA,5,41
senior,Designer,DataGrip,2,42
senior,Designer,IPython,2,43
senior,Designer,"Rad Studio (Delphi, C++ Builder)",2,44
senior,Designer,Kate,1,45
senior,Designer,Goland,1,46
senior,Designer,WebStorm,1,47
senior,Designer,Nova,1,48
senior,Designer,Code::Blocks,1,49
senior,DevOps specialist,Visual Studio Code,4100,1
senior,DevOps specialist,Github,2077,2
senior,DevOps specialist,Vim,2039,3
senior,DevOps specialist,Visual Studio,1861,4
senior,DevOps specialist,Notepad++,1711,5
senior,DevOps specialist,IntelliJ,1686,6
senior,DevOps specialist,Slack,1652,7
senior,DevOps specialist,Jira,1643,8
senior,DevOps specialist,Confluence,1263,9
